Datetime,Open,High,Low,Close
2022-02-10 04:30:00+00:00,43863.55078125,43863.55078125,43863.55078125,43863.55078125
2022-02-10 04:31:00+00:00,43865.44140625,43865.44140625,43865.44140625,43865.44140625
2022-02-10 04:32:00+00:00,43872.40625,43872.40625,43872.40625,43872.40625
2022-02-10 04:33:00+00:00,43876.96484375,43876.96484375,43876.96484375,43876.96484375
2022-02-10 04:34:00+00:00,,,,
2022-02-10 04:35:00+00:00,43911.79296875,43911.79296875,43911.79296875,43911.79296875
2022-02-10 04:36:00+00:00,43903.19921875,43903.19921875,43903.19921875,43903.19921875
2022-02-10 04:37:00+00:00,43851.84375,43851.84375,43851.84375,43851.84375
2022-02-10 04:38:00+00:00,43846.171875,43846.171875,43846.171875,43846.171875
2022-02-10 04:39:00+00:00,43845.08203125,43845.08203125,43845.08203125,43845.08203125
2022-02-10 04:40:00+00:00,43803.80859375,43803.80859375,43803.80859375,43803.80859375
2022-02-10 04:41:00+00:00,43802.05078125,43802.05078125,43802.05078125,43802.05078125
2022-02-10 04:42:00+00:00,43797.43359375,43797.43359375,43797.43359375,43797.43359375
2022-02-10 04:43:00+00:00,43788.921875,43788.921875,43788.921875,43788.921875
2022-02-10 04:44:00+00:00,43780.6328125,43780.6328125,43780.6328125,43780.6328125
2022-02-10 04:45:00+00:00,,,,
2022-02-10 04:46:00+00:00,43762.4921875,43762.4921875,43762.4921875,43762.4921875
2022-02-10 04:47:00+00:00,,,,
2022-02-10 04:48:00+00:00,43748.625,43748.625,43748.625,43748.625
2022-02-10 04:49:00+00:00,43720.7109375,43720.7109375,43720.7109375,43720.7109375
2022-02-10 04:50:00+00:00,43728.62890625,43728.62890625,43728.62890625,43728.62890625
2022-02-10 04:51:00+00:00,43721.69921875,43721.69921875,43721.69921875,43721.69921875
2022-02-10 04:52:00+00:00,43704.62890625,43704.62890625,43704.62890625,43704.62890625
2022-02-10 04:53:00+00:00,43707.2578125,43707.2578125,43707.2578125,43707.2578125
2022-02-10 04:54:00+00:00,,,,
2022-02-10 04:55:00+00:00,,,,
2022-02-10 04:56:00+00:00,43766.23828125,43766.23828125,43766.23828125,43766.23828125
2022-02-10 04:57:00+00:00,43769.984375,43769.984375,43769.984375,43769.984375
2022-02-10 04:58:00+00:00,43806.65234375,43806.65234375,43806.65234375,43806.65234375
2022-02-10 04:59:00+00:00,43810.52734375,43810.52734375,43810.52734375,43810.52734375
2022-02-10 05:00:00+00:00,43816.7421875,43816.7421875,43816.7421875,43816.7421875
